project, run, sample, species, location, collection date, technology, 16S region
PRJNA310360, SRR3145881, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145880, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145879, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145877, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145876, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145875, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145874, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145873, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145872, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145870, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145869, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145859, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145858, seawater, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145857, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145856, seawater, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145855, seawater, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145854, seawater, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145853, seawater, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145852, seawater, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145851, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145850, sediment, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145849, sediment, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145847, sediment, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145846, sediment, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145845, sediment, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145844, sediment, NA, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145843, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145842, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145841, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145840, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145839, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145838, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA277291, SRR1834189, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834188, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834187, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834186, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834185, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834184, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834183, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834182, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834181, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834180, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834179, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834178, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834177, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834176, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834175, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834174, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834173, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834172, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834171, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834170, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834169, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834168, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834167, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834166, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834165, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834164, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834163, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834162, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834109, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834054, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834039, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1834016, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833980, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833975, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833939, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833922, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833902, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833865, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833826, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833806, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833805, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833788, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833787, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833786, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
PRJNA277291, SRR1833745, coral, Ctenactis echinata, 22.3N 38.9E, 2011, 454, V5-V6
